"wrong_token","true_token"
"barn-och","barn och"
"låg-och","låg och"
"plan-och","plan och"
"central-och","central och"
"läs-och","läs och"
"radio-och","radio och"
"folk-och","folk och"
"både--och","både  och"
"sjuk-och","sjuk och"
"för-och","för och"
"asyl-och","asyl och"
"skatte-och","skatte och"
"öst-och","öst och"
"säkerhets-och","säkerhets och"
"jordbruks-och","jordbruks och"
"patent-och","patent och"
"invandrar-och","invandrar och"
"kunskaps-och","kunskaps och"
"försvars-och","försvars och"
"yttrande-och","yttrande och"
"närings-och","närings och"
"kultur-och","kultur och"
"skogs-och","skogs och"
"energi-och","energi och"
"natur-och","natur och"
"mor-och","mor och"
"bygg-och","bygg och"
"arbets-och","arbets och"
"musik-och","musik och"
"informations-och","informations och"
"freds-och","freds och"
"bostads-och","bostads och"
"trafik-och","trafik och"
"sex-och","sex och"
"alkohol-och","alkohol och"
"spel-och","spel och"
"mål-och","mål och"
"både-och","både och"
"kommun-och","kommun och"
"östersund-umeå","östersund umeå"
"yyyy-och","yyyy och"
"vatten-och","vatten och"
"kontroll-och","kontroll och"
"homo-och","homo och"
"produktions-och","produktions och"
"el-och","el och"
"hot-och","hot och"
"inkomst-och","inkomst och"
"arbetsmarknads-och","arbetsmarknads och"
"utvecklings-och","utvecklings och"
"tryck-och","tryck och"
"syd-och","syd och"
"social-och","social och"
"polis-och","polis och"
"penning-och","penning och"
"ja-och","ja och"
"tillväxt-och","tillväxt och"
"teater-och","teater och"
"kvalitets-och","kvalitets och"
"gles-och","gles och"
"universitets-och","universitets och"
"pris-och","pris och"
"ny-och","ny och"
"migrations-och","migrations och"
"löne-och","löne och"
"kommunal-och","kommunal och"
"idrotts-och","idrotts och"
"grundskole-och","grundskole och"
"gods-och","gods och"
"fyra-och","fyra och"
"finans-och","finans och"
"drifts-och","drifts och"
"djur-och","djur och"
"bank-och","bank och"
"trav-och","trav och"
"företags-och","företags och"
"sjö-och","sjö och"
"narkotika-och","narkotika och"
"landstings-och","landstings och"
"kompetens-och","kompetens och"
"jämställdhets-och","jämställdhets och"
"utrikes-och","utrikes och"
"arvs-och","arvs och"
"ansvars-och","ansvars och"
"utrednings-och","utrednings och"
"klass-och","klass och"
"kvinno-och","kvinno och"
"göteborg-borås","göteborg borås"
"fem-sex","fem sex"
"ett-projektet","ett projektet"
"göteborg-stockholm","göteborg stockholm"
"hood-skatt","hood skatt"
"tre-sex","tre sex"
"fem-sju","fem sju"
"hur-utredningen","hur utredningen"
"icke-svaret","icke svaret"
"ki-moon","ki moon"
"maj-juni","maj juni"
"falun-borlänge","falun borlänge"
"haparanda-torneå","haparanda torneå"
"sex-sju","sex sju"
"en-två","en två"
"stockholm-uppsala","stockholm uppsala"
"hoc-beslut","hoc beslut"
"oktober-november","oktober november"
"sju-åtta","sju åtta"
"vegas-automaterna","vegas automaterna"
"april-maj","april maj"
"enånger-hudiksvall","enånger hudiksvall"
"ett-tre","ett tre"
"fri-tv","fri tv"
"borås-göteborg","borås göteborg"
"malmö-lund","malmö lund"
"augusti-september","augusti september"
"emmaboda-karlskrona","emmaboda karlskrona"
"stockholm-malmö","stockholm malmö"
"mölnlycke-bollebygd","mölnlycke bollebygd"
"rinkeby-kista","rinkeby kista"
"sarah-anmält","sarah anmält"
"september-oktober","september oktober"
"sveg-brunflo","sveg brunflo"
"tio-femton","tio femton"
"barkarby-kallhäll","barkarby kallhäll"
"hoc-politik","hoc politik"
"bauer-koncernen","bauer koncernen"
"tensta-rinkeby","tensta rinkeby"
"havs-asien","havs asien"
"stockholm-östersund","stockholm östersund"
"trollhättan-vänersborgs","trollhättan vänersborgs"
"york-resan","york resan"
"arvidsjaur-jokkmokk","arvidsjaur jokkmokk"
"ett-två","ett två"
"göteborg-oslo","göteborg oslo"
"k-sbab","k sbab"
"malung-sälen","malung sälen"
"life-science-industri","life science industri"
"tomteboda-barkarby","tomteboda barkarby"
"ulriksdal-haga-brunnsviken-djurgården","ulriksdal haga brunnsviken djurgården"
"älgviken-fors","älgviken fors"
"östersund-trondheim","östersund trondheim"
"bör-regeln","bör regeln"
"en-bron","en bron"
"kusten-bron","kusten bron"
"stockholm-arlanda","stockholm arlanda"
"makt-musik","makt musik"
"malmö-köpenhamn","malmö köpenhamn"
"hand-affärer","hand affärer"
"gransknings-betänkande-regeringens","gransknings betänkande regeringens"
"goddag-yxskaft-svar","goddag yxskaft svar"
"göteborg-trollhättan","göteborg trollhättan"
"facto-skäl","facto skäl"
"ett-fem","ett fem"
"två-fyra","två fyra"
"fem-åtta","fem åtta"
"sarah-anmälningar","sarah anmälningar"
"stockholm-linköping","stockholm linköping"
"västbanken-gaza","västbanken gaza"
"åre-östersund","åre östersund"
"cruz-massakern","cruz massakern"
"gratia-ersättning","gratia ersättning"
"green-domen","green domen"
"gällivare--umeå","gällivare  umeå"
"reko-stat","reko stat"
"rest-tv","rest tv"
"riga-visby","riga visby"
"s-v-mp","s v mp"
"sabo-företag","sabo företag"
"sahara-frågan","sahara frågan"
"utför-utredningen","utför utredningen"
"umeå-östersund","umeå östersund"
"spånga-tensta","spånga tensta"
"stockholm-östersund","stockholm östersund"
"karlstad-stockholm","karlstad stockholm"
"el-haj","el haj"
"el-per","el per"
"umeå-dåva","umeå dåva"
"umeå-vasa","umeå vasa"
"sverige-norge","sverige norge"
"arbetsgivare-löntagare","arbetsgivare löntagare"
"domän-aktierna","domän aktierna"
"sundsvall-härnösand","sundsvall härnösand"
"östersund-åre","östersund åre"
"arvidsjaur-gällivare","arvidsjaur gällivare"
"arvidsjaur-jörn","arvidsjaur jörn"
"livelihood-priset","livelihood priset"
"livelihood-stiftelsen","livelihood stiftelsen"
"luleå-kallax","luleå kallax"
"makt-miljön","makt miljön"
"oben-attityd","oben attityd"
"oben-perspektiv","oben perspektiv"
"piteå-skellefteå","piteå skellefteå"
"gävle-sandviken","gävle sandviken"
"gävle-stockholm","gävle stockholm"
"göteborg-landvetter","göteborg landvetter"
"göteborg-malmö","göteborg malmö"
"kiruna--luleå--umeå","kiruna  luleå  umeå"
"kiruna-luleå","kiruna luleå"
"hel-eller","hel eller"
"hoc-lösning","hoc lösning"
"homo-utställningen","homo utställningen"
"rinkeby-tensta","rinkeby tensta"
"science-industrin","science industrin"
"in-lösningen","in lösningen"
"hallsberg-mjölby","hallsberg mjölby"
"riksdag-regering","riksdag regering"
"hood-skatten","hood skatten"
"facto-flykting","facto flykting"
"cites-förordningen","cites förordningen"
"stockholm-mälarregionen","stockholm mälarregionen"
"ar-raqqa","ar raqqa"
"hån-töcksfors","hån töcksfors"
"sverige-finland","sverige finland"
"januari-februari","januari februari"
"gävle-sundsvall","gävle sundsvall"
"hand-butiker","hand butiker"
"ghraib-fängelset","ghraib fängelset"
"malung-sälens","malung sälens"
"löfven-romson","löfven romson"
"februari-mars","februari mars"
"enköping-sagån","enköping sagån"
"stockholm-mälardalen","stockholm mälardalen"
"november-december","november december"
"helsingborg-helsingör","helsingborg helsingör"
"fyra-sex","fyra sex"
"stockholm-göteborg","stockholm göteborg"
"karlstad-göteborg","karlstad göteborg"
"stockholm-oslo","stockholm oslo"
"fyra-fem","fyra fem"
"science-branschen","science branschen"
"serbien-montenegro","serbien montenegro"
