error_value;true_value
anderssson;andersson
svenssson;svensson
magnussson;magnusson
(tom andra stycket);namn saknas
ulla vester;ulla wester
ulf nilson;ulf nilsson
tobias bill-ström;tobias billström
tassos stafilidis;tasso stafilidis
tasso stafilides;tasso stafilidis
lennart daleús;lennart daléus
lennart daléus (s);lennart daléus (c)
lennart kollmats (s);lennart kollmats (l)
lennart gustafsson (v);lennart gustavsson (v)
lars wegendahl (s);lars wegendal (s)
lars björkman (s);lars björkman (m)
krister örnfjäder (m);krister örnfjäder (s)
kjell ericsson (s);kjell ericsson (c)
kia andreasson (s);kia andreasson (mp)
kerstin heinemann (s);kerstin heinemann (l)
kenneth lantz (s);kenneth lantz (kd)
keneth johansson (c);kenneth johansson (c)
karin svensson smitth (v);karin svensson smith (v)
karin pilsäter (c);karin pilsäter (l)
karin israelsson (l);karin israelsson (c)
kalle larsson (s);kalle larsson (v)
jonas ringkvist (v);jonas ringqvist (v)
johan pehrson (s);johan pehrson (l)
johan person (l);johan pehrson (l)
jeppe johnsson (s);jeppe johnsson (m)
jan nygren (mp);jan nygren (s)
jan jennehag (s);jan jennehag (v)
ingvar carlsson$;ingvar carlsson (s)
ingered wärners-son (s);ingered wärnersson (s)
ingmar josefsson (s);ingemar josefsson (s)
ingrbritt irhammar (c);ingbritt irhammar (c)
inger rené (s);inger rené (m)
inger davidson (s);inger davidson (kd)
inger davidson$;inger davidson (kd)
ingemar värnerlöv (kd);ingemar vänerlöv (kd)
ingela thalén$;ingela thalén (s)
ingela tahlén (s);ingela thalén (s)
ingegerd saarinen (m);ingegerd saarinen (mp)
henrik lander-holm (m);henrik landerholm (m)
helena bargholqz (l);helena bargholtz (l)
harlad nordlund (l);harald nordlund (l)
harald nordlund (c);harald nordlund (l)
hans karlsson (v);hans karlsson (s)
göran lennmarker (s);göran lennmarker (m)
gunnar högmark (m);gunnar hökmark (m)
gunnar goude (l);gunnar goude (mp)
gunnar goude (m);gunnar goude (mp)
gun gun hellsvik (m);gun hellsvik (m)
gullan lindblad (s);gullan lindblad (m)
gudrun lindvall (s);gudrun lindvall (mp)
förste vice talman-nen (s);förste vice talmannen
maggi mikaelsson (s);maggi mikaelsson (v)
lotta n hedström (mp);lotta nilsson-hedström (mp)
lilan virgin (s);lilian virgin (s)
yvonne ruwaida (s);yvonne ruwaida (mp)
ulla löfgren (s);ulla löfgren (m)
