"sv" "en"
"egenskap" "property"
"ålderspresident" "age President"
"hälsar" "greets"
"välkomna" "welcome"
"första" "first"
"sammanträdet" "meeting"
"yyyy" "dd"
"års" "years"
"riksmöte" "parliamentary session"
"tankar" "thoughts"
"går" "goes"
"dag" "day"
"främst" "mainly"
"svåra" "difficult"
"olyckan" "accident"
"katastrof" "disaster"
"drabbade" "affected"
"land" "country"
"nära" "close"
"grannland" "neighboring country"
"estland" "Estonia"
"estonia" "estonia"
"förliste" "wrecked"
"journalisten" "journalist"
"elisabeth" "Elisabeth"
"skrev" "wrote"
"igenom" "through"
"hjärtskärande" "heartbreaking"
"uppgifterna" "data"
"omkomna" "fatalities"
"ger" "gives"
"tydlig" "clear"
"bild" "picture"
"nya" "new"
"samarbetet" "co"
"skolbesök" "school visits"
"fackliga" "union"
"kurser" "courses"
"företagskontakter" "business contacts"
"delar" "parts"
"stor" "great"
"sorg" "sorrow"
"estniska" "Estonian"
"folket" "people"
"ohyggliga" "hideous"
"hänt" "happened"
"övertygelse" "conviction"
"samhörighet" "affinity"
"svår" "difficult"
"stund" "while"
"ytterligare" "further"
"kommer" "comes"
"fördjupa" "deepen"
"förstärka" "strengthen"
"länder" "countries"
"förenas" "combined"
"nationell" "national"
"tänker" "intend"
"timmar" "hours"
"ovisshet" "uncertainty"
"fick" "got"
"fruktansvärda" "horrible"
"beskedet" "mortified"
"anhörig" "relative"
"vän" "Friend"
"fanns" "was"
"bland" "among"
"räddade" "saved"
"också" "also"
"kammare" "chamber"
"sörjer" "mourn"
"närstående" "related"
"vänner" "friends"
"ombord" "on board"
"saknade" "missing"
"finns" "is"
"claesgöran" "claes Göran"
"larsson" "Larsson"
"visby" "Visby"
"invald" "elected"
"ledamot" "member"
"riksdagen" "parliament"
"gotlands" "Gotland"
"län" "county"
"årets" "year"
"val" "choice"
"metall" "metal"
"flera" "several"
"uppdrag" "mission"
"samt" "and"
"representant" "Representative"
"socialdemokraterna" "Social Democrats"
"fullmäktige" "council"
"tekniska" "technical"
"nämnden" "Board"
"kommun" "municipality"
"lennart" "Lennart"
"pettersson" "Pettersson"
"socialdemokratisk" "social democratic"
"riksdagsledamot" "Member of Parliament"
"ordförande" "President"
"näringsutskottet" "nutrition Committee"
"stort" "large"
"antal" "Quantity"
"styrelser" "boards"
"kommitteer" "committees"
"liksom" "as well as"
"tidigare" "earlier"
"stadsfullmäktige" "City council"
"lund" "grove"
"landstinget" "county council"
"malmöhus" "Malmöhus"
"arne" "Arne"
"utrikesnämnden" "Foreign Policy Council"
"nordiska" "nordic"
"rådet" "the advice"
"stockholms" "stockholm"
"nämndeman" "juryman"
"uppsala" "Uppsala"
"tingsrätt" "District Court"
"kommundelsnämnd" "kommundelsnämnd"
"låt" "let"
"tyst" "silent"
"minut" "minute"
"hedra" "honor"
"miste" "missing"
"liv" "life"
"uttrycka" "express"
"djupa" "deep"
"medkänsla" "sympathy"
"förlorat" "lost"
"nära_och_kära" "loved ones"
"utgör" "constitutes"
"historisk" "historical"
"milstolpe" "milestone"
"får" "get"
"riksdag" "Parliament"
"drygt" "over"
"procent" "percent"
"kvinnliga" "female"
"ledamöter" "members"
"framgång" "success"
"jämställdheten" "equality"
"fördjupar" "deepens"
"förstärker" "reinforces"
"demokratin" "democracy"
"kvinnor" "women"
"män" "male"
"fått" "got"
"förtroendet" "confidence"
"valda" "selected"
"ombud" "agent"
"sveriges" "sweden"
"folk" "people"
"kommande" "coming"
"fyra" "four"
"åren" "years"
"gemensam" "common"
"uppgift" "task"
"framför" "in front"
"föra" "bring"
"landet" "land"
"ekonomiska" "economic"
"krisen" "crisis"
"förhoppning" "hope"
"arbetet" "work"
"skall" "shall"
"präglas" "characterized"
"lösa" "solve"
"samarbetsvilja" "cooperation"
"öppenhet" "openness"
"inför" "infront of"
"konstruktiva" "constructive"
"förslag" "suggestions"
"folkomröstningen" "referendum"
"november" "November"
"avgörs" "determined"
"sverige" "Sweden"
"medlem" "member"
"europeiska" "European"
"unionen" "Union"
"innebär" "means"
"fatta" "take"
"oerhört" "extremely"
"viktigt" "important"
"historiskt" "historic"
"avgörande" "crucial"
"beslut" "decision"
"utgår" "deleted"
"följa" "follow"
"avgör" "determines"
"ord" "words"
"förklarar" "explaining"
"dagens" "current"
"sammanträde" "meeting"
"öppnat" "opening"
"ber" "asks"
"talman" "Presidents"
"föreslå" "propose"
"birgitta_dahl" "Birgitta Dahl,"
"kammaren" "chamber"
"valde" "selected"
"acklamation" "acclamation"
"moderata" "moderate"
"riksdagsgruppens" "parliamentary group"
"vägnar" "For"
"föreslår" "proposes"
"förste_vice_talman" "First Vice President"
"anders" "anders"
"björck" "Björck"
"andre_vice_talman" "Second Vice President"
"centerns" "the Center"
"riksdagsgrupp" "parliamentary"
"görel_thurdin" "Görel Thurdin"
"tredje_vice_talman" "Third Vice-President"
"christer_eirefelt" "Christer Eirefelt"
"talmannen" "President"
"vice" "vice"
"talmännen" "Speakers"
"intog" "took"
"platser" "locations"
"vill" "wants"
"framföra" "present"
"varmt" "hot"
"tack" "thanks"
"förtroende" "confidence"
"visat" "found"
"genom" "by"
"utse" "designate"
"riksdagens" "Parliamentary"
"talmän" "Presidents"
"hedrande" "honorable"
"krävande" "demanding"
"uppgifter" "tasks"
"försäkra" "ensure"
"göra" "do"
"står" "stands"
"makt" "Power"
"oväld" "impartiality"
"ansvar" "responsibility"
"uppdraget" "assignment"
"kräver" "requires"
"leda" "lead"
"arbete" "work"
"hävda" "claim"
"svenska" "Swedish"
"folkstyret" "popular government"
"hälsa" "health"
"nyvalda" "newly elected"
"omvalda" "re-elected"
"ansvarsfulla" "responsible"
"hoppas" "hope"
"förtroendefullt" "trusting"
"konstruktivt" "constructive"
"samarbete" "cooperation"
"personal" "staff"
"inleder" "start"
"sitt" "his"
"förutsättningar" "conditions"
"nnn" "nnn"
"valdes" "elected"
